first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
ernitroctnemeria,ernibroctnemeria,pprss,pp,ss,troc,er_ni,tnem_eria,ernitroctnemeria,control,r,,0,t,b,ernibroctnemeria,1
enprévanteliste,enprévanteliste,prsss,p,sss,prév,en,ant_el_iste,enprévanteliste,target,p,0.0,1,n,r,erprévanteliste,0
érpnisuoslémnoiletnem,érpnisuoslémnoiletnem,ppprsss,ppp,sss,lém,érp_ni_suos,noi_le_tnem,érpnisuoslémnoiletnem,control,p,2.0,0,s,d,érpniduoslémnoiletnem,0
édcibnoileemsi,édcibnoileemsi,prsss,p,sss,cib,éd,noi_le_emsi,édcibnoileemsi,control,r,,0,c,s,édsibnoileemsi,0
recom,recem,pr,p,,com,re,,recom,target,r,,1,o,e,recem,1
fabnoieria,fabnoieria,rss,,ss,fab,,noi_eria,fabnoieria,control,r,,2,b,x,faxnoieria,0
érpernas,érpernes,ppr,pp,,nas,érp_er,,érpernas,control,r,,1,a,e,érpernes,1
erédmelkeuqitnem,erédmelkuuqitnem,pprss,pp,ss,melk,er_éd,euqi_tnem,erédmelkeuqitnem,control,s,0.0,0,e,u,erédmelkuuqitnem,1
reindésaneur,reindésareur,ppprs,ppp,s,san,re_in_dé,eur,reindésaneur,target,r,,2,n,r,reindésareur,1
ercibéti,ercibéti,prs,p,s,cib,er,éti,ercibéti,control,s,0.0,1,t,g,ercibégi,0
ertroc,ertroc,pr,p,,troc,er,,ertroc,control,p,0.0,1,r,n,entroc,0
moctnem,moctnum,rs,,s,moc,,tnem,moctnem,control,s,0.0,2,e,u,moctnum,1
redétaisenteliste,redésaisenteliste,pprsss,pp,sss,tais,re_dé,ent_el_iste,redétaisenteliste,target,r,,0,t,s,redésaisenteliste,1
ernirusruobelbatnem,ernirusruotelbatnem,ppprss,ppp,ss,ruob,er_ni_rus,elba_tnem,ernirusruobelbatnem,control,r,,3,b,t,ernirusruotelbatnem,1
ernirustrec,ernirustrec,pppr,ppp,,trec,er_ni_rus,,ernirustrec,control,r,,1,r,n,ernirustnec,0
erniédlis,erniédlif,pppr,ppp,,lis,er_ni_éd,,erniédlis,control,r,,2,s,f,erniédlif,1
édléutnoileemsi,édléetnoileemsi,prsss,p,sss,léut,éd,noi_le_emsi,édléutnoileemsi,control,r,,2,u,e,édléetnoileemsi,1
niédruj,niédluj,ppr,pp,,ruj,ni_éd,,niédruj,control,r,,0,r,l,niédluj,1
redéblôtionelment,redéblôtoonelment,pprsss,pp,sss,blôt,re_dé,ion_el_ment,redéblôtionelment,target,s,0.0,0,i,o,redéblôtoonelment,1
préredir,préredur,ppr,pp,,dir,pré_re,,préredir,target,r,,1,i,u,préredur,1
synprévionelité,synprévionelité,prsss,p,sss,prév,syn,ion_el_ité,synprévionelité,target,r,,2,é,o,synprovionelité,0
ernitrocrue,irnitrocrue,pprs,pp,s,troc,er_ni,rue,ernitrocrue,control,p,0.0,0,e,i,irnitrocrue,1
recomiquement,recomiquement,prss,p,ss,com,re,ique_ment,recomiquement,target,p,0.0,0,r,n,necomiquement,0
délakion,délakion,prs,p,s,lak,dé,ion,délakion,target,r,,1,a,u,délukion,0
neluopnoileemsi,neluopnoileemsi,prsss,p,sss,luop,ne,noi_le_emsi,neluopnoileemsi,control,p,0.0,1,e,a,naluopnoileemsi,0
sédnimoctne,sédnimoctne,pprs,pp,s,moc,séd_ni,tne,sédnimoctne,control,s,0.0,1,n,r,sédnimoctre,0
tartionelisme,tartionelisme,rsss,,sss,tart,,ion_el_isme,tartionelisme,target,r,,0,t,h,hartionelisme,0
décertant,décartant,prs,p,s,cert,dé,ant,décertant,target,r,,1,e,a,décartant,1
baf,bas,r,,,baf,,,baf,target,r,,2,f,s,bas,1
prédésinmélionelment,prédésinmélionalment,ppprsss,ppp,sss,mél,pré_dés_in,ion_el_ment,prédésinmélionelment,target,s,1.0,0,e,a,prédésinmélionalment,1
surenlans,surenlans,ppr,pp,,lans,sur_en,,surenlans,target,r,,1,a,u,surenluns,0
ernorttnem,ernorttnem,prs,p,s,nort,er,tnem,ernorttnem,control,r,,1,o,i,ernirttnem,0
reinfileur,reinfuleur,pprs,pp,s,fil,re_in,eur,reinfileur,target,r,,1,i,u,reinfuleur,1
ertoidtnemeria,ertoidtnemeria,prss,p,ss,toid,er,tnem_eria,ertoidtnemeria,control,r,,2,i,o,ertoodtnemeria,0
