first,second,condition,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
innegionally,innegionally,prsss,neg,in,ion_al_ly,innegionally,target,p,0.0,1,n,w,iwnegionally,0
nonpookically,norpookically,prsss,pook,non,ic_al_ly,nonpookically,target,p,0.0,2,n,r,norpookically,1
denegalization,denegalization,prssss,neg,de,al_iz_at_ion,denegalization,target,r,,2,g,d,denedalization,0
krewality,krewality,rss,krew,,al_ity,krewality,target,r,,0,k,h,hrewality,0
unimeerly,unimeerly,prs,meer,uni,ly,unimeerly,target,s,0.0,1,y,w,unimeerlw,0
dissoomion,dissoomiin,prs,soom,dis,ion,dissoomion,target,s,0.0,1,o,i,dissoomiin,1
mearlasit,mearlasit,rss,mear,,la_sit,mearlasit,control,s,0.0,1,a,e,mearlesit,0
rededarf,rededarf,ppr,darf,re_de,,rededarf,target,p,1.0,0,d,t,retedarf,0
edtriglazitanoi,edtriglazitanoi,prssss,trig,ed,la_zi_ta_noi,edtriglazitanoi,control,s,1.0,0,z,t,edtriglatitanoi,0
ersimtalcnemt,ersimtalcnemt,pprs,talc,er_sim,nemt,ersimtalcnemt,control,p,0.0,0,e,a,arsimtalcnemt,0
redecunment,redocunment,pprs,cun,re_de,ment,redecunment,target,p,1.0,1,e,o,redocunment,1
reinfomable,reinfomable,pprs,fom,re_in,able,reinfomable,target,p,1.0,0,i,a,reanfomable,0
sarp,sarp,r,sarp,,,sarp,control,r,,0,s,t,tarp,0
dobilsens,dobilsers,rss,dob,,il_sens,dobilsens,control,s,1.0,2,n,r,dobilsers,1
erfradevissen,erfratevissen,prss,frad,er,evi_ssen,erfradevissen,control,r,,3,d,t,erfratevissen,1
unmisprasably,unmisprasably,pprss,pras,un_mis,abl_y,unmisprasably,target,s,0.0,2,l,y,unmisprasabyy,0
sidmearelbassen,sidmearelbassen,prss,mear,sid,elba_ssen,sidmearelbassen,control,s,0.0,1,l,n,sidmearenbassen,0
reram,reram,pr,ram,re,,reram,target,p,0.0,0,r,l,leram,0
keatisou,keatisou,rs,keat,,isou,keatisou,control,r,,3,t,g,keagisou,0
imnegically,imnegically,prsss,neg,im,ic_al_ly,imnegically,target,r,,1,e,o,imnogically,0
belsless,belsliss,rs,bels,,less,belsless,target,s,0.0,1,e,i,belsliss,1
deeglasitci,deeglasitti,rsss,deeg,,la_sit_ci,deeglasitci,control,s,2.0,0,c,t,deeglasitti,1
cet,ces,r,cet,,,cet,target,r,,2,t,s,ces,1
ersimromnemt,ersimyomnemt,pprs,rom,er_sim,nemt,ersimromnemt,control,r,,0,r,y,ersimyomnemt,1
bodationalist,bodationalist,rssss,bod,,at_ion_al_ist,bodationalist,target,r,,1,o,e,bedationalist,0
sidmofluf,sidmofluf,prs,mof,sid,luf,sidmofluf,control,p,0.0,0,s,p,pidmofluf,0
neilla,neilwa,rs,neil,,la,neilla,control,s,0.0,0,l,w,neilwa,1
disinmorionary,disinmoreonary,pprss,mor,dis_in,ion_ary,disinmorionary,target,s,0.0,0,i,e,disinmoreonary,1
ermearnemt,errearnemt,prs,mear,er,nemt,ermearnemt,control,r,,0,m,r,errearnemt,1
nitrignoilayl,nitrignoilayl,prsss,trig,ni,noi_la_yl,nitrignoilayl,control,p,0.0,1,i,e,netrignoilayl,0
erpdeegcilayl,orpdeegcilayl,prsss,deeg,erp,ci_la_yl,erpdeegcilayl,control,p,0.0,0,e,o,orpdeegcilayl,1
disinbelsionary,disonbelsionary,pprss,bels,dis_in,ion_ary,disinbelsionary,target,p,1.0,0,i,o,disonbelsionary,1
disfomment,disfommert,prs,fom,dis,ment,disfomment,target,s,0.0,2,n,r,disfommert,1
onnromeviyl,onnremeviyl,prss,rom,onn,evi_yl,onnromeviyl,control,r,,1,o,e,onnremeviyl,1
miscetation,miscevation,prss,cet,mis,at_ion,miscetation,target,r,,2,t,v,miscevation,1
touromhissens,touromhissens,prss,rom,tou,his_sens,touromhissens,control,r,,2,m,r,tourorhissens,0
gen,gen,r,gen,,,gen,control,r,,0,g,t,ten,0
soomalisticly,soemalisticly,rssss,soom,,al_ist_ic_ly,soomalisticly,target,r,,2,o,e,soemalisticly,1
lienationalist,lienationalist,rssss,lien,,at_ion_al_ist,lienationalist,target,s,1.0,2,n,m,lienatiomalist,0
tonptainolasit,tonhtainolasit,rssss,tonp,,ta_ino_la_sit,tonptainolasit,control,r,,3,p,h,tonhtainolasit,1
kooplasitci,kooplasitca,rsss,koop,,la_sit_ci,kooplasitci,control,s,2.0,1,i,a,kooplasitca,1
soomliness,soomliness,rss,soom,,li_ness,soomliness,target,r,,0,s,h,hoomliness,0
louknemtlayl,louknemtlayl,rsss,louk,,nemt_la_yl,louknemtlayl,control,s,2.0,0,y,w,louknemtlawl,0
reovergloc,reovergroc,ppr,gloc,re_over,,reovergloc,target,r,,1,l,r,reovergroc,1
ketfulness,ketfulness,rss,ket,,ful_ness,ketfulness,target,r,,0,k,p,petfulness,0
pookisticate,pookisticate,rsss,pook,,ist_ic_ate,pookisticate,target,s,2.0,1,t,s,pookisticase,0
declativation,declativation,prsss,clat,de,iv_at_ion,declativation,target,p,0.0,1,e,o,doclativation,0
unreamable,unmeamable,prs,ream,un,able,unreamable,target,r,,0,r,m,unmeamable,1
inusiwyl,inusiwyl,prs,siw,inu,yl,inusiwyl,control,r,,0,s,h,inuhiwyl,0
edsiweta,edsaweta,prs,siw,ed,eta,edsiweta,control,r,,1,i,a,edsaweta,1
neilnemtlasim,neilnemtlasim,rsss,neil,,nemt_la_sim,neilnemtlasim,control,s,0.0,0,n,m,neilmemtlasim,0
ramful,rambul,rs,ram,,ful,ramful,target,s,0.0,0,f,b,rambul,1
outmeer,outleer,pr,meer,out,,outmeer,target,r,,0,m,l,outleer,1
deglocalization,deglocalization,prssss,gloc,de,al_iz_at_ion,deglocalization,target,s,1.0,0,i,e,deglocalezation,0
reintaun,reintoun,ppr,taun,re_in,,reintaun,target,r,,1,a,o,reintoun,1
ersimnautnemt,ersimnautnomt,pprs,naut,er_sim,nemt,ersimnautnemt,control,s,0.0,1,e,o,ersimnautnomt,1
dewisalization,dewisalizatiom,prssss,wis,de,al_iz_at_ion,dewisalization,target,s,3.0,2,n,m,dewisalizatiom,1
disincetiousness,disincetiousness,pprss,cet,dis_in,ious_ness,disincetiousness,target,r,,2,t,s,disincesiousness,0
inketivation,inketivation,prsss,ket,in,iv_at_ion,inketivation,target,r,,0,k,t,intetivation,0
sidninautsioussen,sidninautsioussen,pprss,naut,sid_ni,siou_ssen,sidninautsioussen,control,r,,1,a,o,sidninoutsioussen,0
