first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
erpedtnopnoita,erpedtnopwoita,pprs,pp,s,tnop,erp_ed,noita,erpedtnopnoita,control,s,0.0,0,n,w,erpedtnopwoita,1
errevomartnemlayl,errevemartnemlayl,pprsss,pp,sss,mar,er_revo,tnem_la_yl,errevomartnemlayl,control,p,1.0,3,o,e,errevemartnemlayl,1
proglociously,proglotiously,prss,p,ss,gloc,pro,ious_ly,proglociously,target,r,,3,c,t,proglotiously,1
trigcilayl,trigcilayl,rsss,,sss,trig,,ci_la_yl,trigcilayl,control,r,,1,r,m,tmigcilayl,0
prasically,prasically,rsss,,sss,pras,,ic_al_ly,prasically,target,s,0.0,0,i,a,prasacally,0
reincunisticly,reincunisticly,pprsss,pp,sss,cun,re_in,ist_ic_ly,reincunisticly,target,r,,0,c,t,reintunisticly,0
nidoblayl,nidoblayy,prss,p,ss,dob,ni,la_yl,nidoblayl,control,s,1.0,1,l,y,nidoblayy,1
ernuccilayl,ewnuccilayl,prsss,p,sss,nuc,er,ci_la_yl,ernuccilayl,control,p,0.0,1,r,w,ewnuccilayl,1
progirt,plogirt,pr,p,,girt,pro,,progirt,target,p,0.0,1,r,l,plogirt,1
ersidtalc,ersidtalc,ppr,pp,,talc,er_sid,,ersidtalc,control,r,,0,t,k,ersidkalc,0
wisfully,wisfilly,rss,,ss,wis,,ful_ly,wisfully,target,s,0.0,1,u,i,wisfilly,1
siwcilayl,siwcilaym,rsss,,sss,siw,,ci_la_yl,siwcilayl,control,s,2.0,1,l,m,siwcilaym,1
ernipraclufyl,ernipriclufyl,pprss,pp,ss,prac,er_ni,luf_yl,ernipraclufyl,control,r,,2,a,i,ernipriclufyl,1
ertuonuc,ertuenuc,ppr,pp,,nuc,er_tuo,,ertuonuc,control,p,1.0,2,o,e,ertuenuc,1
predebodational,predebodationam,pprss,pp,ss,bod,pre_de,ation_al,predebodational,target,s,1.0,1,l,m,predebodationam,1
clatation,clatation,rs,,s,clat,,ation,clatation,target,s,0.0,3,o,e,clatatien,0
ingirtational,ingirtationil,prss,p,ss,girt,in,ation_al,ingirtational,target,s,1.0,0,a,i,ingirtationil,1
sarpylssen,sarpylssen,rss,,ss,sarp,,yl_ssen,sarpylssen,control,s,1.0,3,n,l,sarpylssel,0
nurometa,wurometa,prs,p,s,rom,nu,eta,nurometa,control,p,0.0,0,n,w,wurometa,1
nislebnoita,nislebnoito,prs,p,s,sleb,ni,noita,nislebnoita,control,s,0.0,4,a,o,nislebnoito,1
predisbodically,predisbodically,pprsss,pp,sss,bod,pre_dis,ic_al_ly,predisbodically,target,s,1.0,0,a,i,predisbodicilly,0
glocly,glocly,rs,,s,gloc,,ly,glocly,target,r,,2,o,i,glicly,0
rejegmentally,rujegmentally,prsss,p,sss,jeg,re,ment_al_ly,rejegmentally,target,p,0.0,1,e,u,rujegmentally,1
reamiousness,reamiousnets,rss,,ss,ream,,ious_ness,reamiousness,target,s,1.0,2,s,t,reamiousnets,1
clatisticly,clatisticly,rsss,,sss,clat,,ist_ic_ly,clatisticly,target,r,,0,c,t,tlatisticly,0
ernuc,ernac,pr,p,,nuc,er,,ernuc,control,r,,1,u,a,ernac,1
orpdeehci,orpdeehci,prs,p,s,deeh,orp,ci,orpdeehci,control,s,0.0,0,c,s,orpdeehsi,0
remiswisical,remitwisical,pprss,pp,ss,wis,re_mis,ic_al,remiswisical,target,p,1.0,2,s,t,remitwisical,1
nunitectnemlayl,nunitectnemlayl,pprsss,pp,sss,tec,nu_ni,tnem_la_yl,nunitectnemlayl,control,s,2.0,1,l,m,nunitectnemlaym,0
reinfom,reirfom,ppr,pp,,fom,re_in,,reinfom,target,p,1.0,1,n,r,reirfom,1
